2025-07-30 00:21,tmp=28.6,hum=66.2
2025-07-30 00:37,tmp=28.8,hum=66.6
2025-07-30 00:52,tmp=29.0,hum=65.8
2025-07-30 01:07,tmp=29.2,hum=65.6
2025-07-30 01:22,tmp=29.1,hum=60.6
2025-07-30 01:37,tmp=29.0,hum=61.2
2025-07-30 01:52,tmp=29.1,hum=64.4
2025-07-30 02:08,tmp=29.2,hum=66.4
2025-07-30 02:23,tmp=29.3,hum=67.7
2025-07-30 02:38,tmp=29.4,hum=68.1
2025-07-30 02:53,tmp=29.5,hum=67.8
2025-07-30 03:08,tmp=29.6,hum=67.6
2025-07-30 03:23,tmp=29.4,hum=62.3
2025-07-30 03:39,tmp=29.5,hum=64.9
2025-07-30 03:54,tmp=29.5,hum=65.8
2025-07-30 04:09,tmp=29.5,hum=64.2
2025-07-30 04:24,tmp=29.5,hum=64.6
2025-07-30 04:39,tmp=29.5,hum=64.9
2025-07-30 04:54,tmp=29.5,hum=64.3
2025-07-30 05:09,tmp=29.4,hum=62.2
2025-07-30 05:24,tmp=29.5,hum=64.5
2025-07-30 05:40,tmp=29.3,hum=62.0
2025-07-30 05:55,tmp=29.1,hum=63.7
2025-07-30 06:10,tmp=29.1,hum=65.1
2025-07-30 06:25,tmp=29.1,hum=64.9
2025-07-30 06:40,tmp=29.0,hum=63.3
2025-07-30 06:55,tmp=29.0,hum=61.4
2025-07-30 07:11,tmp=28.9,hum=61.7
2025-07-30 07:26,tmp=28.9,hum=58.6
2025-07-30 07:41,tmp=28.8,hum=59.0
2025-07-30 07:56,tmp=28.8,hum=59.5
2025-07-30 08:11,tmp=28.8,hum=59.7
2025-07-30 08:26,tmp=28.9,hum=59.6
2025-07-30 08:41,tmp=28.9,hum=60.9
2025-07-30 08:56,tmp=28.7,hum=58.4
2025-07-30 09:11,tmp=28.7,hum=59.4
2025-07-30 09:27,tmp=28.7,hum=61.5
2025-07-30 09:42,tmp=28.6,hum=59.4
2025-07-30 09:58,tmp=28.6,hum=60.2
2025-07-30 10:13,tmp=28.7,hum=61.6
2025-07-30 10:28,tmp=28.7,hum=58.8
2025-07-30 10:43,tmp=28.7,hum=58.8
2025-07-30 10:58,tmp=28.6,hum=59.0
2025-07-30 11:14,tmp=28.6,hum=57.7
